"Compound_name","Outcome","SMR","LabuteASA","NumLipinskiHBA","NumHBD","NumAmideBonds","NumAtoms","NumAromaticRings","NumAromaticCarbocycles","NumSaturatedCarbocycles","NumAliphaticCarbocycles","Chi3v","Chi4v","Chi1n","Chi2n","Chi3n","Chi4n","kappa2","kappa3","slogp_VSA12","smr_VSA1","smr_VSA2","peoe_VSA4","peoe_VSA5","peoe_VSA6","peoe_VSA13","MQN2","MQN8","MQN10","MQN11","MQN13","MQN14","MQN17","MQN23","MQN26","MQN27","MQN28","MQN30","MQN36","MQN42"
"erlotinib","0.0",111.93970000000004,169.5322632278569,7,1,0,52,3,2,0,0,4.082844815672015,2.68261345943135,9.107799662785107,6.071032106686076,4.082844815672015,2.68261345943135,10.271588954277956,5.347720173143325,0,18.947451815200196,0,0,6.423349895620259,11.986801387317254,0,0,1,4,0,13,0,8,1,3,10,0,9,3,1
"Diazepam","1.0",81.81000000000003,122.06237911260715,3,0,1,33,2,2,0,0,3.603930645072731,2.477600260375425,6.329639001332097,4.645086508323745,3.3688335422849924,2.305497236422558,5.097712849630266,2.207528872522682,11.600939890232516,4.794537184071822,0,0,0,41.932775232540564,0,0,0,1,0,3,1,7,0,3,0,0,10,2,1
"FLUDROCORTISONE","0.0",95.49140000000003,158.19644652906234,5,3,0,56,0,0,3,4,8.798592512885193,7.16386711109844,10.018038201741083,9.605335966321316,8.798592512885193,7.16386711109844,5.70729325462098,2.095427165272189,0,29.299071600340582,0,0,0,19.420578929450514,0,1,0,5,0,8,2,1,3,8,1,1,8,3,3
"bilastine","0.0",135.44879999999995,202.10637706022226,6,1,0,71,3,2,0,0,7.227151347890748,4.854513046055584,12.47896882877671,9.800268481423002,7.227151347890748,4.854513046055584,10.70247028376994,5.3384285516039585,0,14.637927532712578,0,0,0,36.39820241076966,0,0,0,3,0,14,1,8,1,5,6,1,13,3,1
"SPIRAMYCIN","0.0",216.88619999999918,350.5922975393349,16,4,0,133,0,0,0,0,12.378645153052036,9.100541063297493,21.287168948380867,17.80890171935813,12.378645153052036,9.100541063297493,22.450692883722347,13.302377663508928,0,67.91008757790685,0,0,0,31.227817627026145,0,0,2,10,4,26,2,2,4,17,6,2,14,3,0
"SUCCIMER","0.0",40.81960000000001,68.05572240230238,4,4,0,16,0,0,0,0,2.0783388183518454,0.5251511668290257,2.2825432679811026,1.5661499560581988,0.8051044696647977,0.2701017096056553,3.7221553831437983,2.4861284113319395,25.257578296025983,19.802129157825053,0,25.257578296025983,0,0,0,0,0,4,0,7,2,0,2,6,0,4,0,0,0
"VALSARTAN","0.0",121.38650000000001,187.21053148154257,8,2,1,61,3,2,0,0,5.415985359639195,3.7837594966894703,10.863955775643777,8.130202648093848,5.415985359639195,3.7837594966894703,10.65708212114023,5.3761745071749605,0,14.69560176298435,0,5.213385095654868,10.197363616602075,75.72296976969076,0,0,1,3,0,15,2,8,2,6,4,5,12,2,0
"donepezil","1.0",110.13050000000004,167.0045866205227,4,0,0,57,2,2,0,1,6.285957345712203,4.712021514075524,10.229959823676923,8.070461212884847,6.285957345712203,4.712021514075524,8.356363444273022,3.925173476821331,0,14.268263091671919,0,0,0,30.33183534230805,0,0,0,3,0,8,1,6,0,3,4,0,12,3,1
"OXAZEPAM","1.0",78.16950000000001,120.28169926381122,4,2,1,31,2,2,0,0,3.2628202843978906,2.267290077597864,6.070503567811205,4.396557086827241,3.0277231816101517,2.0951870536449975,5.074072414162752,2.309023940605221,11.600939890232516,9.901064578912528,0,0,0,41.932775232540564,5.907179729351506,0,0,2,0,3,1,7,2,3,0,0,10,2,1
"TRANYLCYPROMINE","1.0",41.77540000000001,60.86028900617028,1,1,0,21,1,1,1,1,2.0675199341691184,1.298159615104726,3.682521984712166,2.9167335457334964,2.0675199341691184,1.298159615104726,2.0972477177374915,0.9290842019241585,0,0,0,0,0,30.33183534230805,0,0,1,0,0,2,0,3,1,1,0,0,6,1,0
